# base	fc544d3b57f27f1422969fca0002cb2bff30ab17
# hardened	377c16e8de65d1b5885c4aa26e404f37b90aa2ca
# upstream	e40c72c823c6502906d4024933f0c119b5ca17cf
# target	ce3522c767bbffddaa71e7e8430e79140e4c554d
# Equality compares complete Git entries, including file mode.
# matches-base means the retained file delta is absent verbatim;
# diverged requires review. Neither is a semantic security verdict.
status	path	upstream	target
M	libexec/rpc.rquotad/Makefile	matches-base	matches-base
M	libexec/rpc.rstatd/Makefile	matches-base	matches-base
M	libexec/rpc.rusersd/Makefile	matches-base	matches-base
M	libexec/rpc.rwalld/Makefile	matches-base	matches-base
M	libexec/rpc.sprayd/Makefile	matches-base	matches-base
M	libexec/rtld-elf/Makefile	matches-base	matches-base
M	libexec/rtld-elf/Symbol.map	matches-base	matches-base
M	libexec/rtld-elf/amd64/Makefile.inc	matches-base	matches-base
M	libexec/rtld-elf/map_object.c	matches-base	diverged
M	libexec/rtld-elf/rtld-libc/Makefile.inc	matches-base	matches-base
M	libexec/rtld-elf/rtld.c	matches-base	diverged
M	release/Makefile	matches-base	diverged
M	release/Makefile.azure	matches-base	matches-base
M	release/Makefile.ec2	matches-base	matches-base
M	release/Makefile.gce	matches-base	diverged
M	release/Makefile.inc1	matches-base	matches-base
M	release/Makefile.mirrors	matches-base	matches-base
M	release/Makefile.oci	matches-base	matches-base
M	release/Makefile.vagrant	matches-base	matches-base
M	release/Makefile.vm	matches-base	diverged
M	release/amd64/make-memstick.sh	matches-base	diverged
M	release/amd64/mkisoimages.sh	matches-base	diverged
M	release/arm64/RPI.conf	matches-base	matches-base
M	release/arm64/make-memstick.sh	matches-base	diverged
M	release/arm64/mkisoimages.sh	matches-base	diverged
M	release/i386/make-memstick.sh	matches-base	diverged
M	release/i386/mkisoimages.sh	matches-base	diverged
A	release/packages/Makefile.package	matches-base	matches-base
A	release/packages/certctl.ucl	matches-base	matches-base
A	release/packages/clang-all.ucl	matches-base	matches-base
A	release/packages/clibs.ucl	matches-base	matches-base
M	release/packages/generate-ucl.lua	matches-base	matches-base
M	release/packages/generate-ucl.sh	matches-base	matches-base
A	release/packages/hardenedbsd.ucl	matches-base	matches-base
A	release/packages/lld-all.ucl	matches-base	matches-base
A	release/packages/lldb-all.ucl	matches-base	matches-base
A	release/packages/runtime.ucl	matches-base	matches-base
A	release/packages/ssh-all.ucl	matches-base	matches-base
M	release/packages/template.ucl	matches-base	diverged
M	release/packages/ucl/README	matches-base	diverged
A	release/packages/ucl/hardenedbsd-all.ucl	matches-base	matches-base
A	release/packages/ucl/libhbsdcontrol-all.ucl	matches-base	matches-base
A	release/packages/unbound-all.ucl	matches-base	matches-base
A	release/packages/utilities.ucl	matches-base	matches-base
M	release/pkg_repos/release-dvd.conf	matches-base	diverged
M	release/powerpc/generate-hfs.sh	matches-base	diverged
M	release/powerpc/mkisoimages.sh	matches-base	diverged
A	release/powerpc/powerpcspe.conf	matches-base	matches-base
M	release/release.conf.sample	matches-base	diverged
M	release/release.sh	matches-base	diverged
M	release/riscv/make-memstick.sh	matches-base	diverged
M	release/riscv/mkisoimages.sh	matches-base	diverged
A	release/scripts/HardenedBSD-base-offline.conf	matches-base	matches-base
M	release/scripts/atlas-upload.sh	matches-base	diverged
M	release/scripts/make-manifest.sh	matches-base	diverged
M	release/scripts/make-oci-image.sh	matches-base	diverged
M	release/scripts/make-pkg-package.sh	matches-base	diverged
M	release/scripts/mk-vmimage.sh	matches-base	diverged
M	release/scripts/mtree-to-plist.awk	matches-base	diverged
M	release/scripts/pkg-stage.sh	matches-base	diverged
M	release/scripts/pkgbase-stage.lua	matches-base	diverged
M	release/tools/arm.subr	matches-base	diverged
M	release/tools/azure.conf	matches-base	diverged
M	release/tools/basic-ci.conf	matches-base	matches-base
M	release/tools/basic-cloudinit.conf	matches-base	diverged
M	release/tools/ec2-base.conf	matches-base	diverged
M	release/tools/ec2-builder.conf	matches-base	diverged
M	release/tools/ec2-cloud-init.conf	matches-base	diverged
M	release/tools/ec2-small.conf	matches-base	diverged
M	release/tools/ec2.conf	matches-base	diverged
M	release/tools/gce.conf	matches-base	diverged
M	release/tools/oci-image-dynamic.conf	matches-base	diverged
A	release/tools/oci-image-minimal.conf	matches-base	matches-base
M	release/tools/oci-image-notoolchain.conf	matches-base	diverged
M	release/tools/oci-image-runtime.conf	matches-base	diverged
M	release/tools/oci-image-static.conf	matches-base	diverged
M	release/tools/openstack.conf	matches-base	matches-base
A	release/tools/oracle.conf	matches-base	matches-base
M	release/tools/vagrant.conf	matches-base	diverged
M	release/tools/vmimage.subr	matches-base	diverged
M	rescue/librescue/Makefile	matches-base	matches-base
M	rescue/rescue/Makefile	matches-base	matches-base
M	sbin/devd/devd.conf	matches-base	diverged
M	sbin/geom/Makefile	matches-base	matches-base
M	sbin/init/Makefile	matches-base	diverged
M	sbin/md5/Makefile	matches-base	matches-base
M	sbin/mount_nfs/Makefile	matches-base	matches-base
M	secure/lib/libcrypto/modules/Makefile.inc	matches-base	matches-base
M	secure/libexec/ssh-sk-helper/Makefile	matches-base	diverged
M	secure/usr.bin/openssl/Makefile	matches-base	matches-base
M	share/examples/Makefile	matches-base	diverged
A	share/examples/hardenedbsd/hbsdcontrol.sh	matches-base	matches-base
M	share/keys/Makefile	matches-base	matches-base
A	share/keys/hbsd-update/Makefile	matches-base	matches-base
A	share/keys/hbsd-update/trusted/Makefile	matches-base	matches-base
A	share/keys/hbsd-update/trusted/ca.hardenedbsd.org	matches-base	matches-base
A	share/keys/hbsd-update/trusted/dnssec.key-2016-07-30	matches-base	matches-base
M	share/keys/pkg/trusted/Makefile	matches-base	matches-base
A	share/keys/pkg/trusted/pkg.hardenedbsd.org.2014-09-04	matches-base	matches-base
M	share/man/man4/Makefile	matches-base	diverged
A	share/man/man4/aslr.4	matches-base	matches-base
A	share/man/man4/hardening.4	matches-base	matches-base
M	share/man/man5/Makefile	matches-base	diverged
A	share/man/man5/hbsd-update-build.conf.5	matches-base	matches-base
A	share/man/man5/hbsd-update.conf.5	matches-base	matches-base
M	share/man/man5/src.conf.5	matches-base	diverged
M	share/man/man9/sysctl.9	matches-base	matches-base
M	share/mk/Makefile	matches-base	matches-base
M	share/mk/bsd.compat.pre.mk	matches-base	matches-base
M	share/mk/bsd.crunchgen.mk	matches-base	matches-base
A	share/mk/bsd.hardenedbsd.mk	matches-base	matches-base
M	share/mk/bsd.init.mk	matches-base	diverged
M	share/mk/bsd.lib.mk	matches-base	matches-base
M	share/mk/bsd.opts.mk	matches-base	matches-base
M	share/mk/bsd.own.mk	matches-base	matches-base
M	share/mk/bsd.prog.mk	matches-base	diverged
M	share/mk/bsd.progs.mk	matches-base	matches-base
M	share/mk/bsd.suffixes-extra.mk	matches-base	matches-base
M	share/mk/bsd.sys.mk	matches-base	diverged
M	share/mk/src.libnames.mk	matches-base	diverged
M	share/mk/src.opts.mk	matches-base	diverged
M	share/mk/sys.mk	matches-base	matches-base
M	stand/Makefile.inc	matches-base	matches-base
M	stand/defaults/loader.conf	matches-base	diverged
M	stand/defs.mk	matches-base	diverged
M	stand/efi/libefi/Makefile	matches-base	diverged
M	stand/efi/loader/Makefile	matches-base	diverged
M	stand/efi/loader/arch/arm64/Makefile.inc	matches-base	matches-base
M	stand/fdt/Makefile	matches-base	matches-base
M	stand/ficl/Makefile	matches-base	matches-base
M	stand/ficl32/Makefile	matches-base	matches-base
M	stand/forth/Makefile	matches-base	matches-base
M	stand/forth/beastie.4th	matches-base	matches-base
A	stand/forth/brand-hbsd.4th	matches-base	matches-base
M	stand/forth/brand.4th	matches-base	matches-base
A	stand/forth/logo-hardenedbsd.4th	matches-base	matches-base
A	stand/forth/logo-hardenedbsdbw.4th	matches-base	matches-base
M	stand/forth/menu.4th	matches-base	diverged
M	stand/i386/Makefile.inc	matches-base	matches-base
M	stand/images/Makefile	matches-base	diverged
A	stand/images/hardenedbsd-brand-rev.png	matches-base	matches-base
A	stand/images/hardenedbsd-logo-rev.png	matches-base	matches-base
M	stand/liblua32/Makefile	matches-base	matches-base
M	stand/libsa32/Makefile	matches-base	matches-base
M	stand/loader.mk	matches-base	diverged
M	stand/lua/Makefile	matches-base	diverged
M	stand/lua/drawer.lua	matches-base	diverged
A	stand/lua/gfx-hbsd.lua	matches-base	matches-base
A	stand/lua/logo-hardenedbsd.lua	matches-base	matches-base
A	stand/lua/logo-hardenedbsdbw.lua	matches-base	matches-base
M	stand/usb/Makefile	matches-base	matches-base
M	sys/amd64/amd64/elf_machdep.c	matches-base	matches-base
M	sys/amd64/amd64/exec_machdep.c	matches-base	diverged
M	sys/amd64/amd64/initcpu.c	matches-base	diverged
M	sys/amd64/amd64/machdep.c	matches-base	diverged
M	sys/amd64/amd64/pmap.c	matches-base	diverged
A	sys/amd64/conf/HARDENEDBSD	matches-base	matches-base
A	sys/amd64/conf/HARDENEDBSD-CORE	matches-base	matches-base
A	sys/amd64/conf/HARDENEDBSD-MINIMAL	matches-base	matches-base
A	sys/amd64/conf/HARDENEDBSD-NODEBUG	matches-base	matches-base
A	sys/amd64/conf/LATT-SEC	matches-base	matches-base
M	sys/amd64/conf/NOTES	matches-base	diverged
M	sys/amd64/ia32/ia32_signal.c	matches-base	diverged
M	sys/amd64/include/cpufunc.h	matches-base	diverged
D	sys/amd64/include/sgx.h	matches-base	matches-base
D	sys/amd64/include/sgxreg.h	matches-base	matches-base
M	sys/amd64/include/vmparam.h	matches-base	matches-base
M	sys/amd64/linux/linux_sysvec.c	matches-base	diverged
M	sys/amd64/linux32/linux32_sysvec.c	matches-base	diverged
D	sys/amd64/sgx/sgx.c	matches-base	matches-base
D	sys/amd64/sgx/sgx_linux.c	matches-base	matches-base
D	sys/amd64/sgx/sgx_support.S	matches-base	matches-base
D	sys/amd64/sgx/sgxvar.h	matches-base	matches-base
M	sys/amd64/vmm/x86.c	matches-base	diverged
